page_id,image_path,section_id,section_name,source_type,content_type,is_index,confidence,secondary_types,needs_review
-001,raw/Getrag265:5_Rebuild_ShiftBMW/001.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-002,raw/Getrag265:5_Rebuild_ShiftBMW/002.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-003,raw/Getrag265:5_Rebuild_ShiftBMW/003.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-004,raw/Getrag265:5_Rebuild_ShiftBMW/004.jpg,,,unknown,specification,False,0.9,"[""procedure""]",False
-005,raw/Getrag265:5_Rebuild_ShiftBMW/005.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-006,raw/Getrag265:5_Rebuild_ShiftBMW/006.jpg,,,unknown,procedure,False,0.95,"[""specification""]",False
-007,raw/Getrag265:5_Rebuild_ShiftBMW/007.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-008,raw/Getrag265:5_Rebuild_ShiftBMW/008.jpg,,,unknown,diagram,False,0.9,"[""specification""]",False
-009,raw/Getrag265:5_Rebuild_ShiftBMW/009.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-010,raw/Getrag265:5_Rebuild_ShiftBMW/010.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-011,raw/Getrag265:5_Rebuild_ShiftBMW/011.jpg,,,unknown,diagram,False,0.9,"[""specification""]",False
-012,raw/Getrag265:5_Rebuild_ShiftBMW/012.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-013,raw/Getrag265:5_Rebuild_ShiftBMW/013.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-014,raw/Getrag265:5_Rebuild_ShiftBMW/014.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-015,raw/Getrag265:5_Rebuild_ShiftBMW/015.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-016,raw/Getrag265:5_Rebuild_ShiftBMW/016.jpg,,,unknown,specification,False,0.8,"[""diagram""]",False
-017,raw/Getrag265:5_Rebuild_ShiftBMW/017.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-018,raw/Getrag265:5_Rebuild_ShiftBMW/018.jpg,,,unknown,specification,False,0.9,"[""diagram""]",False
-019,raw/Getrag265:5_Rebuild_ShiftBMW/019.jpg,,,unknown,specification,False,0.85,"[""diagram""]",False
-020,raw/Getrag265:5_Rebuild_ShiftBMW/020.jpg,,,unknown,text,False,0.8,"[""diagram"", ""specification""]",False
-021,raw/Getrag265:5_Rebuild_ShiftBMW/021.jpg,,,unknown,specification,False,0.9,"[""procedure""]",False
-022,raw/Getrag265:5_Rebuild_ShiftBMW/022.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-023,raw/Getrag265:5_Rebuild_ShiftBMW/023.jpg,,,unknown,procedure,False,0.9,"[""specification""]",False
-024,raw/Getrag265:5_Rebuild_ShiftBMW/024.jpg,,,unknown,specification,False,0.8,"[""diagram""]",False
-025,raw/Getrag265:5_Rebuild_ShiftBMW/025.jpg,,,unknown,text,False,0.9,[],False
-m,raw/m.png,,,unknown,diagram,False,0.9,[],False
00-00-index-a_maintena,raw/00 - Maintenance/00-00-index-a.jpg,00,Maintenance,service_manual,index,True,0.95,[],False
00-00-intro-01_maintena,raw/00 - Maintenance/00-00-intro-01.jpg,00,Maintenance,service_manual,text,False,0.9,"[""index""]",False
00-00-intro-02_maintena,raw/00 - Maintenance/00-00-intro-02.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-00-intro-03_maintena,raw/00 - Maintenance/00-00-intro-03.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-00-intro-04_maintena,raw/00 - Maintenance/00-00-intro-04.jpg,00,Maintenance,service_manual,text,False,0.9,[],False
00-01_maintena,raw/00 - Maintenance/00-01.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-01_torque-s,raw/00 - Torque Specs/00-01.jpg,00,Torque Specs,service_manual,specification,False,0.9,"[""procedure""]",False
00-02_maintena,raw/00 - Maintenance/00-02.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-02_torque-s,raw/00 - Torque Specs/00-02.jpg,00,Torque Specs,service_manual,specification,False,0.9,[],False
00-03_maintena,raw/00 - Maintenance/00-03.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-03_torque-s,raw/00 - Torque Specs/00-03.jpg,00,Torque Specs,service_manual,specification,False,0.9,[],False
00-04_maintena,raw/00 - Maintenance/00-04.jpg,00,Maintenance,service_manual,procedure,False,0.95,"[""specification""]",False
00-04_torque-s,raw/00 - Torque Specs/00-04.jpg,00,Torque Specs,service_manual,specification,False,0.95,[],False
00-05_maintena,raw/00 - Maintenance/00-05.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-05_torque-s,raw/00 - Torque Specs/00-05.jpg,00,Torque Specs,service_manual,specification,False,0.9,[],False
00-06_maintena,raw/00 - Maintenance/00-06.jpg,00,Maintenance,service_manual,procedure,False,0.95,"[""specification""]",False
00-06_torque-s,raw/00 - Torque Specs/00-06.jpg,00,Torque Specs,service_manual,specification,False,0.9,[],False
00-07_maintena,raw/00 - Maintenance/00-07.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-07_torque-s,raw/00 - Torque Specs/00-07.jpg,00,Torque Specs,service_manual,specification,False,0.95,[],False
00-08_maintena,raw/00 - Maintenance/00-08.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-08_torque-s,raw/00 - Torque Specs/00-08.jpg,00,Torque Specs,service_manual,specification,False,0.9,[],False
00-09_maintena,raw/00 - Maintenance/00-09.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-09_torque-s,raw/00 - Torque Specs/00-09.jpg,00,Torque Specs,service_manual,specification,False,0.95,[],False
00-10_maintena,raw/00 - Maintenance/00-10.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-11_maintena,raw/00 - Maintenance/00-11.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-12_maintena,raw/00 - Maintenance/00-12.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-13_maintena,raw/00 - Maintenance/00-13.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-14_maintena,raw/00 - Maintenance/00-14.jpg,00,Maintenance,service_manual,specification,False,0.85,"[""procedure""]",False
00-15_maintena,raw/00 - Maintenance/00-15.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-16_maintena,raw/00 - Maintenance/00-16.jpg,00,Maintenance,service_manual,procedure,False,0.9,"[""specification""]",False
00-17_maintena,raw/00 - Maintenance/00-17.jpg,00,Maintenance,service_manual,procedure,False,0.95,"[""specification""]",False
